heroic Monster,Barbarian Chest,chest levels,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,,
heroic Monster,Cursed Chest,chest levels,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,,
heroic Monster,Elven Chest,chest levels,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,,
heroic Monster,Inferno Chest,chest levels,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,,
heroic Monster,Undead Chest,chest levels,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,,
Rare,Rare Dragon Chest,chest levels,10,15,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raid Runic squad,Runic Chest,chest levels,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,,,,,
Arachne's Swarm Epic squad,Arachne Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arena,Gladiator's Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authority Rush Tournament,Chest of Authority,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clash for the Throne tournament,Wooden Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise of the Ancients event,Ancients' Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise of the Ancients event,Quick March Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vault of the Ancients,Sapphire Chest,chest levels,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Tartaros Crypt,Tartaros Chest,chest levels,10,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union of Triumph personal reward,Union Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermes' Store,Hermes Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Event ""Trials of Olympus""",Olympus Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jormungandr Shop epic monster,Jormungandr's Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Ancient squad ,Golden Guardian Epic Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Ancient squad,Golden Guardian Legendary Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Fenrir squad epic monster,Fenrir's Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Inferno squad epic monster,Fire Hydra Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Ancient squad,Golden Guardian Ascendant Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Jormungandr squad epic monster,Jormungandr's Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Briareus squad epic monster,Briareus Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Chimera squad epic monster,Chimera Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Basilisk squad epic monster,Basilisk Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Inferno squad epic monster,Hell's Blacksmith's chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Undead squad epic monster,Epic Monster Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercenary Exchange,Merchant's Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimic Chest,Pacified Mimic Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow City,Shadow City,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yao Monster,Yao Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogwei,Yogwei Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank,Wooden Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank,Golden Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank,Magic Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank,Precious Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank,Silver Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank,Bronze Chest,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan wealth,Common Chest of Wealth,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan wealth,Epic Chest of Wealth,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan wealth,Rare Chest of Wealth,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan wealth,Uncommon Chest of Wealth,chest levels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
